,parent_tweet,id,classification
0,"Heard that friend was not going to be ""charged"" in any robbery since video shows it was other person",501760642928635904,comment
1,"Name of Ferguson cop is expected to be released by  ET, police chief says: (J.B. Forbes, AP)",500270212198174720,comment
2,"no, radical Muslim extremists are making us victims.",524971210275565568,comment
3,URGENT:  gunmen involved in deadly attack on CharlieHebdo - French interior minister Paris,552836882770690049,comment
4,Did anyone think of comparing the clothes that MikeBrown was wearing when he was laying on the street to the security footage? Ferguson,500289931097296897,support
5,Statement from Prime Minister Tony Abbott on Sydney hostage situation.,544293230649810944,comment
6,really hope this guy doesnt have explosives too :I,544283032732332032,comment
7,And there was a struggle inside the car. How do we know Brown didn't get the gun and fire the shot during the struggle?,500406679176241153,comment
8,compare the pix... store dude in flip-flops. Mike Brown- pix look like running shoes? (need better pix of Mike Brown in street),500300182844878848,comment
9,"CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports",552811591683821568,comment
10,so.. Instead of helping you took a picture for profit?,524938343180931073,comment
11,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times],521360786409943041,deny
12,Recap: Gunman shot dead inside Parliament buildings; police believe there may be others on loose. Cdn soldier shot earlier at War Memorial.,524946532416884736,comment
13,Uber trips out of the CBD today are free to help Sydneysiders get home safely. See,544347456238931968,comment
14,"ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead OttawaShooting suspect. Canada",525020658972258305,query
15,infidels that r breathing offends these monsters. Freedom offends them.,552817834628501505,comment
16,a bullet is just as evel as a bomb we bomb them they shot us but we make a big deal of both,524959078229880832,comment
17,BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources),553588165408473088,comment
18,"According to Seven, this is a picture of the gunman",544293748377518080,comment
19,This widely shared cartoon about the CharlieHebdo attack is actually by and not Banksy,553196346375954433,query
20,"Police say shots fired at  Ottawa sites - National War Memorial, Parliament Hill, and now Rideau shopping centre",524957146656821249,comment
21,MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters.,524992668301262848,deny
22,is that Mike Brown? the guy in these pics looks a lot bigger than the pics of Mike Brown in prior still photos released?,500294827351621632,comment
23,so its not an IS flag - must be a peaceful Islamic extremist group then!,544307827070615553,support
24,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. cdnpoli ableg,524955418955902976,comment
25,"MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded:",553541495588802560,comment
26,"- Even if not innocent, no justification for violating rights, removing due process &amp; execution Ferguson MURDER!",500301494193627136,comment
27,BREAKING: A source confirms to CP that the deceased soldier in Ottawa is Cpl. Nathan Cirillo. Cirillo was a member of the Hamilton Argylls,525026551411519488,comment
28,"I think we don't have enough facts about the big picture right now (AQAP/ISIS etc), we'll need to wait and see",553565149790224387,comment
29,Police confirm that sydneysiege is finally over. Two people reportedly injured after suffering gunshot wounds,544520601038098433,comment
30,"this might not end well honestly, i wouldnt expect isis to hold somthing up without trying to behead or blow it up",544284034902528000,query
31,why shouldn't a private citizen make a comment on a news event?,524941900223381504,deny
32,hatred pedophile and disgrace in Judaism . We as Muslims don't accept . What freedom if abuse Islam. Death,552818473806491650,comment
33,Reports: CharlieHebdo suspects killed,553589038196981760,query
34,BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. sydneyseige,544452279441829888,comment
35,"that's a good idea, just attach a note saying "" I think this is your shit have it back""",553595330009518080,comment
36,".orangeseahorse - Even if robbery took place &amp; stop legal, actions after st &amp; d shot &amp; after MikeBrown put HandsUp = MURDER",500304474616119296,comment
37,BREAKING: At least two people have died following the SydneySiege.  people are being treated by paramedics.,544519358232674305,comment
38,StopKillingInnocentPeople FreePalestine freeBurma FreeSyria FreeKashmir,553550998497918976,comment
39,Does seem terribly convenient to Abbott's gov't.,544349614393282561,comment
