,id,tweet
0,501760642928635904,"This shows Michael paid for cigarillos. No robbery, no crime! Pls RT"
1,500270212198174720,Get ready to tweet the address SpikeLee and other vigilantes .
2,524971210275565568,"your radical Muslims are being funded by American Senate, Israel and Saudia Arabia"
3,552836882770690049,Just kill them.
4,500289931097296897,"no, because that would require reasoning and then if reasoning is applied, no one can be shot. Shoot now, reason later."
5,544293230649810944,AU GOV and Tony Abbott is responsible for this mess!! AU Gov created the 'Rebels' Frankenstein in Syria!!
6,544283032732332032,u know theres some fucked up people who wants to see him blow up himself
7,500406679176241153,why would the ferguson PD and STLCO PD release the information they've released and fail to mention that?
8,500300182844878848,Here are pixs I have.
9,552811591683821568,
10,524938343180931073,yeah posting information about an evolving shooter situation is less worthwhile than an untrained journalist performing CPR
11,521360786409943041,no he hasn't
12,524946532416884736,Hunt them down like the animals that they are!!
13,544347456238931968,Thank you!
14,525020658972258305,Which accounts?
15,552817834628501505,reason forthis massacre is a concrete action of paper.not general principles of freedom.
16,524959078229880832,there are times we shld put our stupidness aside nd be feel bad fr wats happening at the moment...!!!!
17,553588165408473088,"For the record this pic. is the other hostage site, the CharlieHebdo murderers were taken outside Paris: Dammartin"
18,544293748377518080,You are a danger to the rest of society. Stop posting pics without any verification &amp; creating panic.
19,553196346375954433,Does this cartoon means that hatred cartoons to holy values will continue?
20,524957146656821249,a bullet is just as evel as a bomb we bomb them they shot us but we make a big deal of both
21,524992668301262848,Your info is out of date. Rideau shooting didn't happen. Police press conference says nothing about number of shooters.
22,500294827351621632,He is large. In the store photos you have some prospective unlike the still photos.
23,544307827070615553,It is according to this terrorism expert
24,524955418955902976,maybe you should get your info a little more locally
25,553541495588802560,"“AP: MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded:"
26,500301494193627136,Absolutely my point!!
27,525026551411519488,I teared up when I heard. RIP Cpl Cirillo.
28,553565149790224387,"ok. I would like to hear your reactions, your personal thoughts, once you have had time to process these events."
29,544520601038098433,
30,544284034902528000,is there a live feed somewhere
31,524941900223381504,Not a comment. Stated gunman had been neutralized.Simply not true. Over k followers.Irresponsible.
32,552818473806491650,go away. Sorry excuse for human
33,553589038196981760,Can you confirm the reports that those suspects were killed by French police?
34,544452279441829888,O Lord Save All Hostages in Sydney &amp; Turn Militants  Righteous Ways MSGTheFilm 
35,553595330009518080,wonder if get the impression we are sick of these extremists and how the government just let them in
36,500304474616119296,Besides a person who committed a robbery wouldn't call attention to himself by walking in the middle of the street. It's a lie.
37,544519358232674305,not good news....
38,553550998497918976,fuck you sarracen and stop islamization
39,544349614393282561,he will up oz's military budget then become a huge consultant / board member to 'defense' companies when he retires.
40,576801654118428672,Military Coup to overthrow Putin my st thought buddy. Serious rumours Putin is Dead or Critical. Trying  source
41,552815897425891328,anti semitism results in ppl killing Jews. But Jews don't slaughter anyone for offensive cartoons
42,500319394325479424,.bucci - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.
43,544991347304714240,No. It's fanatics. All religions have extremist factions and they're all wrong...
44,544355074672033792,their entire coverage has been a joke. See the uni professor explain hypotheticals in hostage situations?
45,544285782639267840,"Ta, trying that one too. I'm on this one"
46,524969433308340224,"I think that what they are doing around the world is ""sensational"". It's about time we matched it."
47,525000734992248832,we won't agree on this and that's okay. If you're in Ottawa stay safe.
48,525031054537936897,Rest in peace. An innocent life taken so tragically. In our hearts and prayers.
49,552812322075729920,This is not about political correctness. These medieval assholes want to destroy fee speech &amp; western values: War.
50,499456567990026240,source?
51,544520807074918400,not confirmed
52,499532946412687360,"when u spew racism,hate of us blks&amp;Potus u shw slvs"
53,544370150359572480,Not cool Yo! My Prayerz hope that hostages make it out safe
54,544284571626635266,Send in the British SAS it will be over within mins
55,552852233901965313,brain washed fanatics. The amount of fervor needed to commit such a horrific act is unimaginable.
56,499459462965362688,HatersHate and LiarsLie
57,553237817086967809,COWARDS less than humans
58,524964692423630849,well said
59,524937817924067328,
60,524939106367721472,my thoughts also
61,553591557325336576,
62,552844745647460352,Thank you for the reply mam. Really appreciate. I have tweeted mam also.
63,553578217387614208,Omg “WSJ: Breaking: Gunman at Paris store threatens to kill hostages if CharlieHebdo suspects are harmed.
64,552814012791279617,pussies
65,524961643688890368,US official - whatever. Take your source from the Canadian government what has your channel become
66,524991797630865408,The police chief just totally dodged that question and wouldn't say there was more than ..jUst FYI
67,500281521841139712,"I could not agree more, it just plain sounds preposterous. And why did he NOT get OUT of the car. It has to be a huge LIE."
68,544280076628414464,Oh dear! PRAY for these innocent people in Sydney who are being held up in a Cafe just before Christmas! Good Lord Almighty!
69,553587741720854528,"If so that hostage will be the person best able to give an insight into the attack, if the suspects were responsible..."
70,553552100417110017,Absolutly right.
71,500287202124103680,oh well that just justifies everything doesn't it. HANDSUPdontshoot
72,544300001568911360,While Bashar al-Assad was killing over  people World Leaders just sat there twidling their thumbs. lslamicVolcano Eruption
73,500371968831787009,"Ferguson Missouri, obvs."
74,553551562732470272,"“RT_com: UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in CharlieHebdo shooting"" &lt;-- :("
75,552834026948415488,"not men, not human, these are Zealots, the same beasts Mosses used in the murder of  scores of ten when back from the mountain."
76,500307074589659137,Probable cause for what? The alleged robbery that cop wasn't aware of (so it appears) or alleged assault of cop?
77,553195335661912064,I suspect they were rather distracted. Can't think why...
78,500379240299122690,after they beat him.
79,553591773537513473,good work 
80,500321053197864961,What other info do they have ready to release? All they have said is this is why we approached him.
81,499368327530414080,Yeah Land of the Free My A%&amp;
82,544320115647741952,"RT Hostage situation erupts in Sydney cafe, Australian prime minister says it may be “politically motivated”"
83,500340654841798656,“zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. Ferguson” truth
84,544354628775600128,"""Grease my palm with silver lovie."" The disgraceful pricks. Run 'em outta town folks."
85,544282786039726080,"Yes. This is what real news is about: “mscott: Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney..."""
86,544292185722851329,"Sick. ""Independent: Up to  held hostage in Sydney Lindt Cafe siege"
87,525061909968478208,RIP
88,499693411130429443,Uh Sorry. I believe it was his point. Sharpton and Jesse remain silent on Chicago crimes happening daily.
89,553584470264410113,where's Eddy Caplan when you need him
90,544518918912495616,
91,544530369312477184,No wonder dude upped his game. Seems like men engaged in femicide &amp; sexual assaults in Australia can roam freely?
92,544478273238212608,They don't know whether or not he has a booby trapped bomb attached to his person. EasyToCriticise
93,499596317413621760,"or be white. Or old and white. Or an old, rich and white Senator."
94,500308482676240384,anti-whites ? lulz
95,500295446578085889,Here's a petition to stop militarization of police departments
96,524946868887756801,Ottawa MT Gunman shot dead inside Parliament; police believe there may be others on loose. Soldier shot earlier at War Memorial
97,544392471007227904,"“cnni: Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. sydneysiege”"
98,500382019109810176,"in Egypt, they killed 's and still free"
99,524978385660153856,"So now you judge me for  fucking RT with comment, one. Why don't you look at yourself in the mirror and judge that instead"
100,544314667795873792,We don't.
101,552814805456027648,More madness - tragic: “WSJ: At least  dead in the Paris shooting.http://t.co/xESRZWpb CharlieHebdo
102,524970687803715584,And I know they will too :) stupidattack
103,553213579672178689,How stupid
104,524958146343624704,I had heard the same before I saw you &amp; many others tweet.
105,553535342049902592,
106,553550482925715458,Right a tradgedy happening in France and you post this. This is the reason the world hates Islam.
107,500288302100918272,Waiting to see an outpouring of sympathy for the owner of the store that was attacked. Not holding my breath.
108,525036307173879808,The flags are also at half-mast. RIP Cpl. Nathan Cirillo. Our thoughts and prayers are with his family &amp; CAF
109,544302024352092162,oh cock
110,552842578539073537,so sad
111,499369781846233088,"get some ""don't tread on me"" flags and fox will go"
112,553485100932157440,"Siege: “FRANCE: BREAKING :  dead, several injured in shootout North-East of Paris (RTLFrance ) CharlieHebdo”"
113,500368855051804672,exactly.
114,500288465355816960,Yeah. just did on CNN.
115,552834504520630274,", spotted your photo"
116,525043841490251776,let's cut off his head and send back to his family in the middle east.
117,544276206728671232,doing what their man made twisted fairy tale tells them to do. banislam
118,500311633458364416,Fox News will talk about it now
119,552997008483811328,“MelanieTait: Banksy says JeSuisCharlie in a beautiful way (vi
120,500348187656601600,"Does Missouri, St. Louis County &amp; Ferguson have rules &amp; laws about cops using deadly force? What are they?"
121,553590107807428608,“SkyNewsBreak: AFP: suspected CharlieHebdo gunmen have been killed” yayyyboom
122,524956642454941696,Careful when reporting on life and death. Let's wait until we really know... when the news is not so chaotic
