,index,Unnamed: 0,id,tweet,label
0,35,35,1.0606109106397102e+18,@realDonaldTrump What are you going to do about the Domestic White Terrorism? #ThousandsOaks #PittsburghStrong #LasVegasShooting ????,query
1,38,38,1.0606106563643228e+18,"RT @QuestiGirl: When do things become a mathematical impossibility? 

Why are survivors of the Las Vegas shooting being targeted and killed…",query
2,57,57,1.0606092582474875e+18,"@NRA Can gun violence *really* be a solvable problem if there's no data or analysis of the facts, amirite NRA?… https://t.co/prL8XfxPab",query
3,63,63,1.0606088352772547e+18,RT @WVWOnline: Chances you are at a mass shooting is slim but 2??? Anyone else think all the Vegas shooting survivors keep dying or being c…,query
4,74,74,1.0606071054078362e+18,"When do things become a mathematical impossibility? 

Why are survivors of the Las Vegas shooting being targeted an… https://t.co/NG0zyZ18Lr",query
5,92,92,1.0606050067542999e+18,"RT @GematriaClub: Another #DeepState + #FakeNews False Flag Event 🔫  #Hoax

DEATH =118
Ian David Long =118
Staged Shooting =811
Borderline…",deny
6,97,97,1.0606041918512128e+18,"Another #DeepState + #FakeNews False Flag Event 🔫  #Hoax

DEATH =118
Ian David Long =118
Staged Shooting =811
Borde… https://t.co/6qPuHX1yN5",deny
7,102,102,1.0606029554543862e+18,RT @WVWOnline: Chances you are at a mass shooting is slim but 2??? Anyone else think all the Vegas shooting survivors keep dying or being c…,query
8,105,105,1.0606024348112404e+18,"@HamillHimself How. Many. Will. It. Take?
How many have to die before we value life more than the #2ndAmendment?… https://t.co/v1Q2KmqRZ1",query
9,107,107,1.0606023757177078e+18,Again...why are they taking out #LasVegasShooting  witnesses? https://t.co/BpaYZD0cGs,query
10,108,108,1.0606022614898975e+18,RT @WVWOnline: Chances you are at a mass shooting is slim but 2??? Anyone else think all the Vegas shooting survivors keep dying or being c…,query
11,110,110,1.0606020722597929e+18,Chances you are at a mass shooting is slim but 2??? Anyone else think all the Vegas shooting survivors keep dying o… https://t.co/Y5WAuhZoyJ,query
12,115,115,1.0606012733875692e+18,@MarshaBlackburn Are you kidding me with this? I want video of you telling the parents of the dead children from… https://t.co/HSNdhlcOuA,query
13,120,120,1.0605992673944125e+18,"RT @LauraLoomer: ISIS claimed responsibility for the #LasVegasShooting 4 times. 

Besides his body in the room, there is zero evidence whic…",deny
14,132,132,1.0605963747047014e+18,"@Breaking911 @diana102252 #CIA did this, #LasVegasShooting as well.",deny
15,153,153,1.0605917035502469e+18,"What are the odds? Seriously, what are the odds?...curiouser and curiouser...

Survivors of #LasVegasShooting were… https://t.co/J5ogm5Rrgl",query
16,168,168,1.0605898306466529e+18,@AbbyMartin What are the chances that people in #LasVegasShooting were here at #ThousandOaksShooting ? Around my ch… https://t.co/AT3fUdWD2W,query
17,169,169,1.0605895398724362e+18,"We will NEVER find out what really happened...
#LasVegasShooting https://t.co/T86ADMGrE2",deny
18,172,172,1.0605890208146842e+18,"RT @LorrieNJ50: Research. Who inside the bar were also witnesses at the Las Vegas Route 91 Harvest Festival concert?
Are people still talki…",query
19,176,176,1.060588604626473e+18,"Enjoy your Thoughts and Prayers America. 
Again. 

Or you could just do away with your guns. 

Sad people...… https://t.co/bpmnM4wbBt",deny
20,190,190,1.0605864505786819e+18,"No. There's NO #DeepStateStink to this at all…

#LasVegasShooting
#BorderLine
#RedLine

""I was at the Las Vegas Rou… https://t.co/KDtYELtJyJ",deny
21,208,208,1.060583198730666e+18,Still no truth on #LasVegasShooting,deny
22,212,212,1.0605828572513485e+18,"And we are to believe that this is totally random??? Please #LasVegasShooting #CaliforniaBarShooting 

https://t.co/WYVQvvn44b",query
23,213,213,1.060582828331688e+18,"RT @pitsr4me: Hmm 🤔 Are you putting two and two together⁉️
#BorderLineShooting 
#LasVegasShooting 
#ConnectTheDots
#RonHelus https://t.co/9…",query
24,228,228,1.0605798990213857e+18,"What are the odds that anyone survives one mass shooting, only to be a victim at ANOTHER mass shooting within a yea… https://t.co/BcYNq4z2cf",query
25,280,280,1.0605745045382513e+18,"RT @pitsr4me: Hmm 🤔 Are you putting two and two together⁉️
#BorderLineShooting 
#LasVegasShooting 
#ConnectTheDots
#RonHelus https://t.co/9…",query
