,id,parent_id,tweet,topic,classification
0,"913    501760642928635904
Name: id, dtype: object","913    500961800868098049
Name: parent_id, dtype: object","913    @max843 @DanteB4u @Alasscan_  This shows Micha...
Name: tweet, dtype: object","913    ferguson
Name: topic, dtype: object",comment
1,"1076    500270212198174720
Name: id, dtype: object","1076    500258409988763649
Name: parent_id, dtype: object","1076    @USATODAY Get ready to tweet the address #Spik...
Name: tweet, dtype: object","1076    ferguson
Name: topic, dtype: object",comment
2,"1339    524971210275565568
Name: id, dtype: object","1339    524969798170869761
Name: parent_id, dtype: object","1339    @rikermacdaniels @CBCAlerts @CBCNews @JustinTr...
Name: tweet, dtype: object","1339    ottawashooting
Name: topic, dtype: object",comment
3,"4114    552836882770690049
Name: id, dtype: object","4114    552833028201144320
Name: parent_id, dtype: object","4114    @RT_com  Just kill them.
Name: tweet, dtype: object","4114    charliehebdo
Name: topic, dtype: object",comment
4,"698    500289931097296897
Name: id, dtype: object","698    500288349924782080
Name: parent_id, dtype: object","698    @TheAnonMessage2 no, because that would requir...
Name: tweet, dtype: object","698    ferguson
Name: topic, dtype: object",support
5,"2714    544293230649810944
Name: id, dtype: object","2714    544289311504355328
Name: parent_id, dtype: object","2714    @Simon_Cullen @HalaJaber AU GOV and Tony Abbot...
Name: tweet, dtype: object","2714    sydneysiege
Name: topic, dtype: object",comment
6,"2876    544283032732332032
Name: id, dtype: object","2876    544280329050005507
Name: parent_id, dtype: object","2876    @Kiippyy @KEEMSTARx u know theres some fucked ...
Name: tweet, dtype: object","2876    sydneysiege
Name: topic, dtype: object",comment
7,"383    500406679176241153
Name: id, dtype: object","383    500406172155777025
Name: parent_id, dtype: object","383    @jlpauk why would the ferguson PD and STLCO PD...
Name: tweet, dtype: object","383    ferguson
Name: topic, dtype: object",comment
8,"469    500300182844878848
Name: id, dtype: object","469    500299923980824576
Name: parent_id, dtype: object","469    @140elect Here are pixs I have. http://t.co/jn...
Name: tweet, dtype: object","469    ferguson
Name: topic, dtype: object",comment
9,"4377    552811591683821568
Name: id, dtype: object","4377    552810448324943872
Name: parent_id, dtype: object","4377    @RT_com @SpringboroTea http://t.co/5NjSg1pBSi
Name: tweet, dtype: object","4377    charliehebdo
Name: topic, dtype: object",comment
10,"1780    524938343180931073
Name: id, dtype: object","1780    524935834941001728
Name: parent_id, dtype: object","1780    @tdgecas yeah posting information about an evo...
Name: tweet, dtype: object","1780    ottawashooting
Name: topic, dtype: object",comment
11,"3360    521360786409943041
Name: id, dtype: object","3360    521360486387175424
Name: parent_id, dtype: object","3360    @FutbolLife @TransferSelect no he hasn't
Name: tweet, dtype: object","3360    ebola-essien
Name: topic, dtype: object",deny
12,"1472    524946532416884736
Name: id, dtype: object","1472    524944399890124801
Name: parent_id, dtype: object","1472    @CBCAlerts Hunt them down like the animals tha...
Name: tweet, dtype: object","1472    ottawashooting
Name: topic, dtype: object",comment
13,"2422    544347456238931968
Name: id, dtype: object","2422    544347216282791936
Name: parent_id, dtype: object","2422    @Uber_Sydney @mtats Thank you!
Name: tweet, dtype: object","2422    sydneysiege
Name: topic, dtype: object",comment
14,"1213    525020658972258305
Name: id, dtype: object","1213    525019752507658240
Name: parent_id, dtype: object","1213    @ArmedResearch Which accounts?
Name: tweet, dtype: object","1213    ottawashooting
Name: topic, dtype: object",query
15,"4212    552817834628501505
Name: id, dtype: object","4212    552816063369326592
Name: parent_id, dtype: object","4212    @DaliaChai @cnnbrk reason forthis massacre is ...
Name: tweet, dtype: object","4212    charliehebdo
Name: topic, dtype: object",comment
16,"1539    524959078229880832
Name: id, dtype: object","1539    524957146656821249
Name: parent_id, dtype: object","1539    @Gormanghast @BBCBreaking there are times we s...
Name: tweet, dtype: object","1539    ottawashooting
Name: topic, dtype: object",comment
17,"3722    553588165408473088
Name: id, dtype: object","3722    553586897168392192
Name: parent_id, dtype: object","3722    @France24_en @Sonia_Dridi For the record this ...
Name: tweet, dtype: object","3722    charliehebdo
Name: topic, dtype: object",comment
18,"2550    544293748377518080
Name: id, dtype: object","2550    544291965513134080
Name: parent_id, dtype: object","2550    @SharriMarkson   You are a danger to the rest ...
Name: tweet, dtype: object","2550    sydneysiege
Name: topic, dtype: object",comment
19,"3986    553196346375954433
Name: id, dtype: object","3986    553152395371630592
Name: parent_id, dtype: object","3986    Does this cartoon means that hatred cartoons t...
Name: tweet, dtype: object","3986    charliehebdo
Name: topic, dtype: object",query
20,"1516    524957146656821249
Name: id, dtype: object","1516    524956129017995264
Name: parent_id, dtype: object","1516    @BBCBreaking a bullet is just as evel as a bom...
Name: tweet, dtype: object","1516    ottawashooting
Name: topic, dtype: object",comment
21,"1268    524992668301262848
Name: id, dtype: object","1268    524991576163250176
Name: parent_id, dtype: object","1268    @CBSNews Your info is out of date. Rideau shoo...
Name: tweet, dtype: object","1268    ottawashooting
Name: topic, dtype: object",deny
