,id,parent_id,parent_tweet,tweet,topic,classification
0,501760642928635904,500961800868098049,"Heard that friend was not going to be ""charged"" in any robbery since video shows it was other person","This shows Michael paid for cigarillos. No robbery, no crime! Pls RT",ferguson,comment
1,500270212198174720,500258409988763649,"Name of Ferguson cop is expected to be released by  ET, police chief says: (J.B. Forbes, AP)",Get ready to tweet the address SpikeLee and other vigilantes .,ferguson,comment
2,524971210275565568,524969798170869761,"no, radical Muslim extremists are making us victims.","your radical Muslims are being funded by American Senate, Israel and Saudia Arabia",ottawashooting,comment
3,552836882770690049,552833028201144320,URGENT:  gunmen involved in deadly attack on CharlieHebdo - French interior minister Paris,Just kill them.,charliehebdo,comment
4,500289931097296897,500288349924782080,Did anyone think of comparing the clothes that MikeBrown was wearing when he was laying on the street to the security footage? Ferguson,"no, because that would require reasoning and then if reasoning is applied, no one can be shot. Shoot now, reason later.",ferguson,support
5,544293230649810944,544289311504355328,Statement from Prime Minister Tony Abbott on Sydney hostage situation.,AU GOV and Tony Abbott is responsible for this mess!! AU Gov created the 'Rebels' Frankenstein in Syria!!,sydneysiege,comment
6,544283032732332032,544280329050005507,really hope this guy doesnt have explosives too :I,u know theres some fucked up people who wants to see him blow up himself,sydneysiege,comment
7,500406679176241153,500406172155777025,And there was a struggle inside the car. How do we know Brown didn't get the gun and fire the shot during the struggle?,why would the ferguson PD and STLCO PD release the information they've released and fail to mention that?,ferguson,comment
8,500300182844878848,500299923980824576,compare the pix... store dude in flip-flops. Mike Brown- pix look like running shoes? (need better pix of Mike Brown in street),Here are pixs I have.,ferguson,comment
9,552811591683821568,552810448324943872,"CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports",,charliehebdo,comment
10,524938343180931073,524935834941001728,so.. Instead of helping you took a picture for profit?,yeah posting information about an evolving shooter situation is less worthwhile than an untrained journalist performing CPR,ottawashooting,comment
11,521360786409943041,521360486387175424,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times],no he hasn't,ebola-essien,deny
12,524946532416884736,524944399890124801,Recap: Gunman shot dead inside Parliament buildings; police believe there may be others on loose. Cdn soldier shot earlier at War Memorial.,Hunt them down like the animals that they are!!,ottawashooting,comment
13,544347456238931968,544347216282791936,Uber trips out of the CBD today are free to help Sydneysiders get home safely. See,Thank you!,sydneysiege,comment
14,525020658972258305,525019752507658240,"ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead OttawaShooting suspect. Canada",Which accounts?,ottawashooting,query
15,552817834628501505,552816063369326592,infidels that r breathing offends these monsters. Freedom offends them.,reason forthis massacre is a concrete action of paper.not general principles of freedom.,charliehebdo,comment
16,524959078229880832,524957146656821249,a bullet is just as evel as a bomb we bomb them they shot us but we make a big deal of both,there are times we shld put our stupidness aside nd be feel bad fr wats happening at the moment...!!!!,ottawashooting,comment
17,553588165408473088,553586897168392192,BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources),"For the record this pic. is the other hostage site, the CharlieHebdo murderers were taken outside Paris: Dammartin",charliehebdo,comment
